hasoc_hi_5556	बांग्लादेश की शानदार वापसी, भारत को 314 रन पर रोका #INDvBAN #CWC19	NOT	None	NULL
hasoc_hi_5648	सब रंडी नाच देखने मे व्यस्त जैसे ही कोई #शांतीदूत के साथ कुछ होगा सब #रंडीरोना शुरू कर देंगे   	HOF	PRFN	UNT
hasoc_hi_164	तुम जैसे हरामियों के लिए बस जूतों की कमी है शुक्र कर अभी तुम्हारी लिंचिंग हुई नहीं है हिंदुओं के जागने की देर है सच में होगी अभी तो तुम जैसे हरामी सुवर ड्रामा बनाएं हो   सुवर कहीं का मौलाना।   तुम जैसे हरामियों कुत्ते की मौत मारना चाहिए सुवर जैसी शक्ल  रंडी की औलाद सुवर कहीं का ।।।।	HOF	PRFN	TIN
hasoc_hi_3530	बीजेपी MLA आकाश विजयवर्गीय जेल से रिहा, जमानत मिलने की खुशी में एक समर्थक ने इंदौर में हर्ष फायरिंग की  #AkashVijayvargiya   https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241 …	NOT	None	NULL
hasoc_hi_5206	चमकी बुखार: विधानसभा परिसर में आरजेडी का प्रदर्शन, तेजस्वी यादव नदारद     #biharencephalitisdeaths   https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748 … (रिपोर्ट- @kumarprakash4u )	NOT	None	NULL
hasoc_hi_5121	मुंबई में बारिश से लोगों को काफी समस्या हो रही है	NOT	None	NULL
hasoc_hi_7142	Ahmed's dad:-- beta aaj teri mammy kyu nahi baat kr rhi h.   Ahmed.... 	NOT	None	NULL
hasoc_hi_2069	Come road....u people are next generation leaders...but come on road else people will lost hope	NOT	None	NULL
hasoc_hi_4321	5 लाख मुसलमान उर्स में, अजमेर की दरगाह पर आते हैं, सिर्फ 300 पुलिस वालों के भरोसे,    2 लाख हिंदुओं की अमरनाथ यात्रा के लिए, 80 हजार कमांडो, पैरामिलिट्री फोर्स, तथा करोड़ों के उपकरण लगाए जा रहे हैं    #खतरे में #कौन है ?	NOT	None	NULL
hasoc_hi_2999	A #swan cleaning #plastic waste spread by us for her family. Since they also have to survive. An example how our #pollution is chocking others lifeline. Eye opener.	NOT	None	NULL
hasoc_hi_4674	Do mahashaktiyan mili hain, charo taraf khusi ki leher hai, khus hone wale khus hi rhe hain aur bhakton ko taklif ho rhi hai, khair honi bhi chahiye.	NOT	None	NULL
hasoc_hi_5355	Under the able leadership of Hon. PM  Modi, Higher Education, Dept. MHRD has prepared the Education Quality Upgradation and Inclusion Programme (EQUIP).This five year plan will be implemented during 2019-24. The report, submitted to me was prepared by about 80 experts .	NOT	None	NULL
hasoc_hi_2301	Shri Vijender Yadav from AAP joins BJP in the presence of State President Shri @ManojTiwariMP and North-West Delhi MP Shri @hansrajhansHRH.	NOT	None	NULL
hasoc_hi_732	#RepublicExitPoll | Projections for the state of Bihar are out, CVoter projects 33 seats for the NDA and Jan Ki Baat projects 28-31 seats for the NDA Tune in to watch it LIVE here - https://www.republicworld.com/livetv 	NOT	None	NULL
hasoc_hi_1637	Chants of 'Jai Sri Ram' as Owaisi takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute  @asadowaisi	NOT	None	NULL
hasoc_hi_5771	नृत्य होगा..!  संगीत होगा..!  जीवन मे उत्सव होगा..!  'वह'आतुर है प्राणों में उतरने को..  'तुम'हृदय दुवार तो खोलो..!  जगह तो खाली करो..!  #हिंदी_शब्द	NOT	None	NULL
hasoc_hi_288	गाये के नाम पर जुल्म करने वालों तुम्हारी औकात है उन देश के दस बड़े गाये का मांस निर्यात करने वाले हिंदुओं से हिसाब लेने की,,,	NOT	None	NULL
hasoc_hi_1803	डॉ. मुखर्जी ने एक देश में दो विधान दो प्रधान और दो निशान का विरोध करते हुए कश्मीर को भारत का अभिन्न अंग मानकर परमिट राज को खत्म करने की लड़ाई लड़ी, उनके बलिदान से ही परमिट राज खत्म हुआ- श्री @ManojTiwariMP	NOT	None	NULL
hasoc_hi_5900	धार्मिक पदों पर बैठे कुछ लोग अपने को भगवान समझ लेते हैं,कुछ लोग नत मस्तक हो उन्हें भगवान का दर्जा दिलाने के लिए अपना समय बर्बाद करते हैं,,,	NOT	None	NULL
hasoc_hi_5951	सिक्का मोहब्बत का उछाल रक्खा है ~  हाँ मगर खुद को सम्भाल रक्खा है ||  अकेले तुम ही नही जो परेशान हो ~  उसने बहुतों को उलझन में डाल रक्खा है ||    ~ शाहरुख सिद्दीकी @Rekhta  #shahrukhsiddiqui @srspoet	NOT	None	NULL
hasoc_hi_1723	कोन कहता है  आँखो में  प्यार नही होता।  जो डूब गया फिर उसमे से पार नही होता।    ये इश्क़ के  बाज़ार का दस्तूर है ज़माने में।  जो लूट गया वह कभी खरीदार नही होता।    नईम  #बज़्म #हिंदी_शब्द   @Aayatkhan_ @10398108Ritesh   @Shaheen31304594 @queen_hoon11   @mahir_nagpuri @Khushi_eik_Pal	NOT	None	NULL
hasoc_hi_1691	वैसे शपथ के अंत में ' जय भारत,जय संविधान' बोलना भी सभी के लिए अनिवार्य किया जा सकता हैं।	NOT	None	NULL
hasoc_hi_2070	एक लंबे अंतराल के बाद आपके बीच #MannKiBaat, जन-जन की बात, जन-मन की बात इसका हम सिलसिला जारी कर रहे हैं। चुनाव की आपाधापी में व्यस्तता तो ज्यादा थी लेकिन मन की बात का मजा ही गायब था, एक कमी महसूस कर रहा था। हम 130 करोड़ देशवासियों के स्वजन के रूप में बातें करते थे: पीएम जी ।	NOT	None	NULL
hasoc_hi_6865	#नीच'समानार्थी शब्द #मोदी' दिला तर चालेल की, लै परफेक्ट बसलं	HOF	OFFN	TIN
hasoc_hi_918	डॉक्टर की लिखी   7 दिन की दवा के बजाय 3 दिन की दवा ही लेना..   एक आम भारतीय गुण है.. 	NOT	None	NULL
hasoc_hi_3763	इस मादरचोद को धुण्डके गांड मे गोली मरो  @Uppolice	HOF	PRFN	UNT
hasoc_hi_3228	भारतीय रेल का सोमवार से बदल जाएगा टाइम-टेबल, ईस्टर्न सेंट्रल रेलवे ने इन ट्रेनों के समय में किया बदलाव	NOT	None	NULL
hasoc_hi_5898	You cry in front of ur god  Of being deceived by the world    Some fine day u die  Reach hell    God tells you  You fucker or भोसडीके,  no one deceived you more than urself. 	HOF	PRFN	UNT
hasoc_hi_3192	बस एक सवाल का जवाब चाहिए कि जिस चिटफंड घोटाले में जांच के आदेश 2014 में आए उसमें पूछताछ/कार्रवाई 2019 में क्यों शुरू हो रही है? इसी सवाल में सब छुपा है। कौन सही कौन गलत पहचान लीजिए।  @LambaAlka @AbbasAliRushdi @SanjayAzadSln    Follow करो  @mirza__786	NOT	None	NULL
hasoc_hi_4057	नतीजे आने से पहले ज़िम्मेदारी मिलनी शुरू हो गयी है  केजरीवाल ने अपनी हार की ज़िम्मेदारी मुसलमानो को दे दिया  @ArvindKejriwal @roflfact @ZakirAliTyagi @asadowaisi	NOT	None	NULL
hasoc_hi_6455	क्लिक करें और पढ़ें इस स्मार्टफोन के बारे में..	NOT	None	NULL
hasoc_hi_1944	हद तो तब हो जाती हैं  जब आरक्षण का लाभ लेने वाले लोग ही आरक्षण के खिलाफ भोंकने लग जाते हैं	HOF	HATE	TIN
hasoc_hi_1796	#AIMIM National Spokesperson @syedasimwaqar live on @News18India  #AarPaar  @AMISHDEVGAN  @asadowaisi	NOT	None	NULL
hasoc_hi_308	हरि ॐ नमो नारायणा भजन सुनकर झूम उठा भक्तों का सैलाब.    #hariom #narayana #radheradhe #jaishrikrishna #JaiShriRam #kalyug #ghanshyam #kanhaiya #acharyapramodkrishnam   @AcharyaPramodk	NOT	None	NULL
hasoc_hi_4604	प्लीज कॉल मेरी जबरदस्ती चुदाई करो ना	HOF	PRFN	UNT
hasoc_hi_1280	ठोकरें खाता हूँ पर ‘शान’ से चलता हूँ, मैं खुले आसमान के नीचे सीना तान के चलता हूँ! मुश्किलें तो ‘साज़’ हैं जिंदगी का उठूंगा गिरूंगा फिर उठूंगा और आखिर में… जीतूंगा मैं ही ये ठान के चलता हूँ!!.आदरणीय अखिलेश यादव जिंदाबाद	NOT	None	NULL
