hasoc_hi_2849	तबरेज के मरने पर रंडी रोना मचाने वाली मिडिया..    दिल्ली में मुल्लों की हरकत पर शांत क्यों??? @sudhirchaudhary @myogiadityanath @anjanaomkashyap	HOF	HATE	TIN
hasoc_hi_2122	रोहित तुझे भगवान ने भड़वा ही बनाया था या तू यहां आकर भड़वा बन गया?	HOF	PRFN	TIN
hasoc_hi_3053	Actress : I’m an actress my opinion doesn’t matter    Also the actress : Don’t vote for Modi because me and 300 other actors are saying so.	NOT	None	NULL
hasoc_hi_5943	मियां न आज पप्पू का लुंड ज्यादा चूस ली पीछे भी डलवा ले	HOF	PRFN	UNT
hasoc_hi_7053	नारी तकबीर अल्लाह-हू-अकबर का नारा लगाते आतंकवादी पत्थरबाज	HOF	HATE	UNT
hasoc_hi_941	कबीर सिंग इन ''''''''''''    अरे ए कौन ओकरा के टच किहिस रे मादरचोद , रुक तहरा बिटिया चोदो आज काट ही देते है साला      #KabirSingh	HOF	PRFN	UNT
hasoc_hi_1566	@myogiadityanath मूझे लगता है कि आपको @narendramodi को दो चार छपेड लगानी चाहिए । मोदी को  मुस्लिमों की गांड चाटने कि शौख लग गया लगता है।    हिंदुओ मर रहे है और ये मियाँ अपने मुस्लिम लोगों की सहायता करने में लग गए है ।	HOF	PRFN	TIN
hasoc_hi_1092	इस हार से लगा था कि कुछ तो जरूर सिख जाओगे तुम लोग लेकिन लगता मायावती कि तरह पूरी तरह से विनाश करवा कर ही मानोगी। तुमको लगता बहुत बेशब्री से उस दिन का इंतजार है जब #कन्हैया_कुमार जैसा देश द्रोही दोगला नमक हराम इस देश के टुकड़े करेगा हाथ में पावर ले कर और तुम लोग चाहते भी यही हो।	NOT	None	NULL
hasoc_hi_6064	भारतीय जनता पार्टी के चाटुकार भक्त ने किया देश से सैनिको का किया अपमान #नीच जैसे शब्द का उपयोग कर आज अपनी शिक्षा का परिचय दे दिया इससे या साफ साबित होता है कि आरएसएस से प्रेरित लोग बस हमारे सेना के जवानों का अपमान कर सकते है।  @adgpi @Neerajkundan @nsui @INCIndia @guptar	HOF	OFFN	UNT
hasoc_hi_6194	तो भोसडपाल ,कॊन हक छीन रहा है , मादरचोद ? तू भी मा चुदाये ,वो भी ! किसने बोला उसको सोशल मीडिया पे डालने को , चुप चाप निकल जाती ।लेकिन बहनचोद ,गांड मे कीडा है ना?	HOF	PRFN	UNT
hasoc_hi_4556	मुजे तो लगता है इस भो्‍सडीके मवाली के घर इसके जन्म से पहले कोई मौलवि रात को आता जाता होगा	HOF	PRFN	UNT
hasoc_hi_832	ये सुअर का पिल्ला है md anas ,, आतकंवादी मदरसे से पढ़ा हुआ ।	HOF	PRFN	TIN
hasoc_hi_7281	रंडी रोना बंद कर, बाबरी मस्जिद तोड़ने वाला आतंकी देश का पीएम है.    #DelhiTemple #HinduTerrorist	HOF	OFFN	UNT
hasoc_hi_6381	वास्तविकता तो ये है कि ये सब पैदाइशी हरामी ही हैं जो कायर हिन्दू थे वो मुसलमान बन गये। इन सबके पूर्वज हिन्दू ही हैं नहीं तो किसी से भी चार पीढ़ी पहले के लोगों के नाम पूछ कर देखलो। इसीलिए ये सब दोगले ही हैं।	HOF	OFFN	TIN
hasoc_hi_3035	मदरसों के नाम से गांड़ में मिर्ची क्यों लगती है।	HOF	PRFN	UNT
hasoc_hi_4742	BJP नेता रेप कर दे तो कोई देशभक्त नही बनता??    BJP सरकार में बच्चे मरे तो किसी मीडिया वाले का ज़मीर नही जागता??    BJP वाले कुछ भी भड़काने वाले बयान दे कोई देशभक्त सामने नही आता??    लेक़िन विपक्ष के नेता मोबाइल चलाने से थोड़ा सा कुछ बोलने पे सभी का देशभक्ति उबाल मारने लगती है।	HOF	OFFN	TIN
hasoc_hi_3851	#मायावती ने अपने छोटे भाई आनंद कुमार  को #BSP का राष्ट्रीय उपाध्यक्ष व भतीजे आकाश आनंद  को नेशनल कॉर्डिनेटर बनाने का फ़ैसला किया है.     और साथ ही साथ सतीश चंद्र मिश्रा को नीली फाइल लेकर बिना जूता पहने पीछे खड़े रहने की ज़िम्मेदारी दी गयी है।	NOT	None	NULL
hasoc_hi_787	कुत्ते की बीज हो 2024 मे तुम्हारी बची कुची अम्मा भी पूरी तरह खुदेगी mc, अराजक तत्व bsdk तुम्हारे फ़ुफ़े,  कटुए लिखने में गान फ़टती है, यही उल्टा होता तो bold लिखते हिन्दु,  सुअर के सडे हुए बीज की पैदाईश है सारे कान्ग्रेसी	HOF	PRFN	UNT
hasoc_hi_7702	क्या @Saurabh_MLAgk झूठ बोलने की भी हद होती है ।  जान भूझ कर अधूरे काग़ज़ दिखाते हो जनता को ।  मैं सच्चाई रख देता हूँ। एमसीडी ने ठेका 5,27,48,941 में दिया। यानी लगभग 12 लाख में।  @msisodia जी है कोई जवाब अपने झूठ का।  शर्म है या वो भी बेच खायी आ@ArvindKejriwal जी ।	HOF	OFFN	TIN
hasoc_hi_5763	यह न्याय धर्म के आधार पर होता है एक आंतकवादी को बेल मिल सकती है परन्तु गरीबों मजलूमों की लड़ई लड़ने वाले को पैरोल नहीं मिल सकती ।    यही है आप का न्याय	HOF	OFFN	UNT
hasoc_hi_4054	मैं कांग्रेस से पूछना चाहता हूँ कि जमायते इस्लामी और JKLF पर आज तक प्रतिबंध क्यों नहीं लगाया गया था ?    मोदी सरकार आने के बाद इन पर प्रतिबंध लगा।    इन अलगाववादियों और देशद्रोहियों पर प्रतिबंध न लगाकर कांग्रेस किसे खुश करना चाहती थी?	HOF	OFFN	TIN
hasoc_hi_2832	तुम हुसैन (रदि.) वाले हो,  कुफ्र के नारे मरते दम तक मत लगाना।    #Lynching	HOF	OFFN	UNT
hasoc_hi_1816	बूम बूम बुमराह, कर दिया मोसदिक कि गाँड को गुमराह 	HOF	PRFN	UNT
hasoc_hi_1736	जिस अनुप्रिया पटेल को आज मंत्री ना बनाकर कुर्मी समाज की अनदेखी की गयी है उनके पिता सोनेलाल पटेल को 23 अप्रैल 1999 को कल्याण सिंह की भाजपा सरकार मे पुलिस ने मार मार कर हाथ पैर तोड़ दिया था तब अतीक अहमद ने उनकी खुलेआम मदद की थी।    भाजपा को वोट देने का कुर्मियों को ये कैसा सिला मिला!	HOF	OFFN	TIN
hasoc_hi_1150	@ArvindKejriwal हरामी की औलाद अब दुबारा कभी मत भौंकना।	HOF	PRFN	TIN
hasoc_hi_807	जिन पत्रकारो ने सत्ता की गुलामी के लिए अपना ज़मीर बेच दिया है,   वो अपने बच्चों से कैसे आंख मिलाकर बात करते होंगे ?	HOF	HATE	TIN
hasoc_hi_3454	आखिर ये मुस्लिम चाहता क्या है    क्या इसका असली मकसद दंगा फसाद कराना है।    इबादत करना या नमाज अदा करना कोई बुरी बात नही    लेकिन उस नमाज या इबादत को चलती ट्रेन में सबका रास्ता रोक कर करना क्या जायज है?    या ये एक साजिश है दंगा कराने की?	HOF	PRFN	TIN
hasoc_hi_551	अबे ज्यादा बोलूं  अख्तर दिल्ली मे तेरी जात वालों ने मंदिर मे मुर्तिया तोड दी उसके बारे मे कुछ भसेगा की नही   साले हरामी भारत देश का खाता है और बुराईयां भी भारत वासियों की ही करता है	HOF	PRFN	UNT
hasoc_hi_4749	तू तो बिल्कुल दलाल लग रहा हैं ऑरेंज भड़वा मेने पहली बार देखा	HOF	PRFN	UNT
hasoc_hi_1016	कहाँ मुहं काला कराकर आया है बच्चे को पेलनेवाले हरामी हलाला की पैदाईश आतंकी कौम के शेतान खतनाधारी कटुए	HOF	PRFN	UNT
hasoc_hi_638	सुन मियाँ...आजम  तेरे जैसे कोठे कि पैदावार को  मंदिर के घंटे कि आवाज भी  घुंघरू जैसा सुनाई पड़ेगी  जिस आदमी को   संसद भवन की  गरिमा का अहसास नही   वो सांसद भड़वा है..!!!!	HOF	OFFN	TIN
hasoc_hi_3443	ये हरामी केजरीवाल को दिखाई दिया कि नही   नही दिखाई दिया होगा  क्यो की केजरीवाल तो मुसलमानो का खुदा है,	HOF	OFFN	TIN
hasoc_hi_4023	મધ્યપ્રદેશમાં રહેતા પરિવારથી વિખૂટી પડી, ગુજરાત આવી પહોંચેલ માનસિક અસ્વસ્થ, નિઃસહાય યુવતિને સહી-સલામત પોતાના પરિવાર સાથે પુનઃમિલન કરાવતી #GujaratPolice     #ReuniteFamillies  #HumanitarianWork	NOT	None	NULL
hasoc_hi_5236	हाथी चले अपनी चाल   #कुत्ते भौंके सौ हज़ार 	HOF	PRFN	UNT
hasoc_hi_7565	आज किसी और के बेटी-बहन के साथ बलात्कार और गोली मारी जा रही कल आपकी भी बारी आ सकती है।    यूँ खामोश होकर मुर्दो की तरह तमाशा देखना सबको भारी पड़ सकता है, ये सरकार की तानशाही और बढ़ सकती है।    वक्त रहते सवाल उठाना सुरु कर दो वर्ना सवाल करने पे उठने लायक नही रहोगे।	NOT	None	NULL
hasoc_hi_6338	जब तक ऐसे मसलों में media और सेक्युलरो का outrage समान नही होगा तब तक भारत यादव और तबरेज़ अंसारी जैसों की तुलना होती रहेगी !	NOT	None	NULL
hasoc_hi_7229	बड़े बड़े बकचोद, बकलोल, बड़बोले, फेंकू और झूठे देखे, पर ऐसा वो भी ओवैसी प्रेमी कटवा और सूअर नहीं देखा जिसने ट्रम्प की बेटी को भी नहीं बख्शा...  	HOF	PRFN	UNT
hasoc_hi_4795	एसे भोस्डीके मौलवी तो कितने मस्जिद मे बैठे तुम लोगो की छोटी छोटी लडकियो को रोज ठोकते है ना गन्ड़ू राम रहीम ना मदरचोद आसाराम भगवान है कुछ लोग है जो इनके पीछे  साले मूर्ख थे पर मस्जिदो मे जो राक्षस पाल रखे है वो तो आये दिन किसी को आगे से किसी पीछे से ठोकते रह्ते है उनका पकड ले	HOF	PRFN	TIN
hasoc_hi_4944	काल भी उसका क्या करे जो भक्त हो महाकाल का।राजतिलक की करो तैयारी,आ रहा है भगवाधारी।	HOF	OFFN	UNT
